Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
used clothes online,2,2,5400,77,1.01,https://poshmark.com/,712,0.01,719.00,1,5230000000,"[54,66,66,44,44,54,54,100,54,36,44,29]",2023-04-08,"Site links, Video, Image, People also ask, FAQ, Popular products, Related searches",commercial,Organic
vonic,1,1,4400,26,1.01,https://poshmark.com/brand/Vonic,1091,0.01,1102.00,1,376000,"[1,1,2,2,1,1,1,100,0,0,0,0]",2023-04-07,"Local pack, Image pack, Video, Image, AdWords bottom, Shopping ads, Indented, Related searches",commercial,Organic
denim and flower,3,4,9900,27,0.35,https://poshmark.com/brand/Denim_&_Flower,811,0.01,284.00,1,276000000,"[54,66,81,100,81,66,81,54,54,66,54,54]",2023-04-08,"Video, Image, AdWords bottom, Indented, Popular products, Related searches",commercial,Organic
casion,1,2,5400,27,3.77,https://poshmark.com/brand/CASION,1339,0.01,5048.00,0.06,3040000,"[44,10,36,16,19,29,19,16,36,36,81,24]",2023-04-07,"Local pack, Image pack, Site links, Image, Video Carousel, Indented, Related searches",commercial,Organic
poshmark app,2,2,6600,60,0.54,https://poshmark.com/getapp,871,0.01,470.00,0.37,9880000,"[66,66,66,54,66,54,54,54,54,36,44,54]",2023-04-07,"Video, AdWords top, People also ask, FAQ, Related searches",commercial,Organic
bugs bunny jordans,1,1,2900,22,0.00,https://poshmark.com/browse/bugs-bunny-jordans,719,0.01,0.00,1,38,"[53,81,53,53,44,53,53,44,53,24,53,44]",2023-04-02,"Image pack, Video, Image, People also ask",commercial,Organic
cinnie,2,2,5400,19,0.60,https://poshmark.com/brand/cinnie-Women,712,0.01,427.00,0.01,850000,"[0,100,100,1,0,2,1,1,0,1,1,0]",2023-04-07,"Image pack, Video, Image, Indented, Related searches",informational,Organic
used louis vuitton bags,2,2,5400,70,0.80,https://poshmark.com/browse/gently-used-louis-vuitton-handbags,712,0.01,570.00,1,13100000,"[36,54,36,54,66,66,54,54,81,66,54,54]",2023-04-08,"Site links, Video, Image, People also ask, Popular products, Related searches",commercial,Organic
playboy hoodie,6,6,22200,32,0.50,https://poshmark.com/brand/PLAYBOY-Women-Tops-Sweatshirts_&_Hoodies,777,0.01,388.00,1,81,"[36,66,30,13,24,20,20,24,36,30,16,20]",2023-04-07,"Site links, AdWords bottom, Indented, Related searches",commercial,Organic
red and white jordans,4,5,22200,34,0.67,https://poshmark.com/browse/red-and-white-jordans,976,0.01,654.00,1,61,"[24,20,44,24,54,44,44,24,54,100,66,44]",2023-04-07,"Image pack, Video, Image, People also ask, Popular products, Related searches",commercial,Organic
uniform city,2,4,6600,34,1.52,https://poshmark.com/brand/Uniform%20City,871,0.01,1324.00,1,1190000000,"[44,29,36,24,29,36,24,24,19,19,24,16]",2023-04-07,"Local pack, Image pack, Site links, Video, Image, AdWords top, Indented, Popular products, Related searches",commercial,Organic
coleté,3,4,9900,28,1.83,https://poshmark.com/listing/Love-Colette-Dress-626d85c54f1a292b7eb51c2d,811,0.01,1485.00,0.15,72,"[36,44,44,44,54,54,100,81,54,54,29,66]",2023-04-07,"Indented, Related searches, See results about",commercial,Organic
gucci bezel watch,1,1,2900,31,0.49,https://poshmark.com/browse/gucci-interchangeable-bezel-watch,719,0.01,352.00,1,46,"[35,13,100,81,29,29,44,44,44,66,53,100]",2023-04-03,"Video, Image, AdWords bottom, Shopping ads, People also ask",commercial,Organic
used clothes,2,2,9900,86,0.71,https://poshmark.com/,1306,0.01,927.00,0.86,5220000000,"[29,36,44,66,44,44,29,100,44,24,29,24]",2023-04-08,"Local pack, Site links, Image, Video Carousel, FAQ, Related searches",commercial,Organic
emerald green dress,7,7,40500,43,0.57,https://poshmark.com/browse/emerald-green-dress,1215,0.01,692.00,1,87400000,"[66,81,66,54,54,36,66,66,66,54,66,81]",2023-04-07,"Video, Image, Indented, Popular products, Related searches",commercial,Organic
chanel heart,2,2,6600,24,2.83,https://poshmark.com/browse/chanel-heart-bag,871,0.01,2465.00,0.03,64800000,"[36,29,19,29,29,24,19,29,19,36,19,13]",2023-04-07,"People also ask, Indented",commercial,Organic
genelli,1,1,2900,29,0.00,https://poshmark.com/brand/Genelli,719,0.01,0.00,0.16,301000,"[100,100,1,1,1,1,1,1,1,2,2,2]",2023-04-06,"Knowledge panel, Image pack, Site links, Video, Image, Indented, See results about",informational,Organic
botique,3,3,18100,32,0.88,https://poshmark.com/brand/Botique,1176,0.01,1035.00,0.83,4040000,"[16,36,44,100,54,54,44,67,54,36,67,36]",2023-04-07,"Local pack, Image pack, Image, Indented, Related searches",commercial,Organic
public desire,10,11,40500,34,6.85,https://poshmark.com/brand/Public_Desire,891,0.01,6103.00,1,585000000,"[81,81,81,66,54,54,81,100,100,81,81,54]",2023-04-07,"Image pack, Image, FAQ, Indented, Related searches",navigational,Organic
apple bottom jeans,7,8,74000,59,0.31,https://poshmark.com/brand/Apple_Bottoms-Women-Jeans,1406,0.01,435.00,0.91,32000000,"[67,54,67,44,44,54,44,54,44,67,67,54]",2023-04-07,"People also ask, Indented, Related searches",informational,Organic
enzo angiolini shoes,1,1,2900,38,0.25,https://poshmark.com/brand/Enzo_Angiolini-Women-Shoes,719,0.01,179.00,1,38,"[100,100,100,100,100,82,100,100,82,82,82,82]",2023-04-04,"Video, Image, People also ask",commercial,Organic
bapestas,4,4,33100,48,0.22,https://poshmark.com/browse/mens-bapesta-shoes,728,0.01,160.00,1,71,"[29,24,29,44,36,66,100,81,81,81,100,54]",2023-04-07,"Image pack, Site links, Video, Image, People also ask, Indented, Popular products, Related searches",commercial,Organic
kid's xxx,1,1,2900,20,0.00,https://poshmark.com/brand/Xxx-Kids,719,0.01,0.00,0,493000000,"[81,53,66,81,81,53,81,81,66,66,0,0]",2023-04-04,,commercial,Organic
coach backpack,7,7,40500,50,0.30,https://poshmark.com/brand/Coach-Women-Bags-Backpacks,1215,0.01,364.00,1,88,"[66,54,54,66,66,81,66,54,66,81,54,54]",2023-04-07,"Site links, Video, Image, People also ask, Related searches",commercial,Organic
coaco,2,2,8100,19,0.56,https://poshmark.com/brand/Coaco%20New%20York,1069,0.01,598.00,0.01,99,"[4,5,7,7,3,8,3,10,24,100,10,3]",2023-04-07,"Image pack, Reviews, Video, Image, Indented, Related searches",informational,Organic
yeezy slides women,2,2,22200,39,0.23,https://poshmark.com/brand/Yeezy-Women-Shoes-Sandals,777,0.01,178.00,1,90,"[81,67,81,100,100,100,81,67,67,54,29,36]",2023-04-07,"Video, Image, People also ask, Indented, Popular products, Related searches",commercial,Organic
hollas,1,1,2900,27,0.20,https://poshmark.com/brand/Hollas,719,0.01,143.00,0.14,1050000,"[100,100,66,66,80,100,80,100,52,52,80,66]",2023-04-02,"Image pack, Video, Image",informational,Organic
louis vuitton diaper bag,1,1,5400,27,0.59,https://poshmark.com/brand/Louis_Vuitton-Women-Bags-Baby_Bags,712,0.01,420.00,1,86,"[54,54,54,44,54,54,44,44,44,54,54,36]",2023-04-07,"Image pack, Site links, Video, Image, People also ask, Indented, Related searches",commercial,Organic
coach wallet,9,10,49500,52,0.57,https://poshmark.com/brand/Coach-Women-Bags-Wallets,1089,0.01,620.00,1,67,"[36,36,45,36,36,36,36,36,82,100,45,45]",2023-04-07,"Image pack, Site links, Video, Image, AdWords bottom, Shopping ads, Popular products, Related searches",commercial,Organic
xxs,1,1,3600,29,1.16,https://poshmark.com/brand/XXS,892,0.01,1035.00,0.04,114000000,"[80,80,100,80,80,100,100,80,100,100,80,100]",2023-04-04,"Image pack, Video, Image, People also ask",commercial,Organic
cucci,2,2,5400,36,3.15,https://poshmark.com/brand/CUCCI,712,0.01,2245.00,0.78,6060000,"[44,54,66,44,54,54,36,36,44,44,44,36]",2023-04-07,"Knowledge panel, Image pack, Site links, Reviews, Video, Image, AdWords top, Shopping ads, People also ask, Indented, Popular products, Related searches",informational,Organic
ken griffey jr shoes,4,5,18100,35,0.88,https://poshmark.com/browse/griffey-jr-shoes,796,0.01,700.00,1,39,"[66,44,44,44,54,44,36,54,36,66,54,29]",2023-04-07,"Image pack, Site links, Video, Image, People also ask, Popular products, Related searches",commercial,Organic
carolina blue jordans,1,1,5400,35,0.43,https://poshmark.com/browse/carolina-blue-jordans,712,0.01,306.00,1,39,"[66,66,23,36,36,36,29,36,44,54,100,29]",2023-04-08,"Image pack, Video, Image, People also ask, Indented, Popular products, Related searches",commercial,Organic
denim and flower ricky singh,2,1,6600,32,0.34,https://poshmark.com/brand/Denim%20&%20Flower%20Ricky%20Singh,871,0.01,296.00,1,31,"[66,66,66,100,81,81,81,36,44,44,44,54]",2023-04-07,"Image pack, Image, Indented, Popular products, Related searches",commercial,Organic
fourrure coat,2,2,6600,23,0.88,https://poshmark.com/browse/fourrures-Jackets-&-Coats,871,0.01,766.00,1,7060000,"[5,54,4,16,16,100,44,44,44,24,16,66]",2023-04-07,"Indented, Related searches",commercial,Organic
black and purple jordans,2,2,9900,19,0.51,https://poshmark.com/browse/purple-and-black-jordans,811,0.01,414.00,1,57,"[36,44,54,44,66,54,24,19,24,29,44,36]",2023-04-07,"Image pack, Video, Image, Indented, Popular products, Related searches",commercial,Organic
jordan 1 orange and white,1,1,2900,16,0.71,https://poshmark.com/browse/orange-and-white-jordans,719,0.01,510.00,1,78,"[13,16,13,10,10,8,1,2,8,7,8,3]",2023-04-03,"Image pack, Site links, Video, Image",commercial,Organic
louis vuitton denim bag,1,1,2900,27,0.52,https://poshmark.com/browse/louis-vuitton-denim-bag,719,0.01,373.00,1,87,"[80,80,80,80,80,100,80,66,66,80,100,100]",2023-04-05,"Image pack, Video, Image, People also ask",commercial,Organic
nx xn,1,1,3600,22,0.00,https://poshmark.com/browse/Nx-Xn-Handbags,892,0.01,0.00,0,84,"[10,66,8,36,0,100,23,0,0,23,15,29]",2023-04-02,,commercial,Organic
4s,4,4,27100,78,0.38,https://poshmark.com/browse/4s-jordans,1192,0.01,453.00,0.96,357000000,"[54,44,54,54,81,81,66,66,100,81,66,66]",2023-04-07,"Image pack, Site links, Video, Image, People also ask, Indented",commercial,Organic
cloud shoes,7,7,60500,55,1.31,https://poshmark.com/brand/ON%20Cloud-Women-Shoes,1149,0.01,1505.00,1,551000000,"[81,81,81,81,81,100,81,81,100,100,100,81]",2023-04-07,"Knowledge panel, Image pack, Site links, Video, Image, AdWords bottom, Shopping ads, People also ask, FAQ, Indented, Popular products, Related searches",commercial,Organic
babyghost,4,4,14800,24,0.00,https://poshmark.com/brand/BabyGhost,962,0.01,0.00,0.01,686000,"[44,66,54,81,100,66,66,54,66,66,54,54]",2023-04-07,"Video, Image, Indented, Related searches",informational,Organic
orange and white jordan 1,1,1,2900,16,0.71,https://poshmark.com/browse/orange-and-white-jordans,719,0.01,510.00,1,74,"[29,24,19,7,10,16,16,29,24,13,16,13]",2023-04-04,"Image pack, Site links, Video, Image",commercial,Organic
black and gold jordans,3,3,12100,25,0.67,https://poshmark.com/browse/black-and-gold-jordans,786,0.01,526.00,1,54,"[24,19,36,29,44,44,54,54,24,100,54,54]",2023-04-07,"Image pack, Video, Image, People also ask, Indented, Popular products, Related searches",commercial,Organic
gucci jelly sandals,1,1,3600,30,1.31,https://poshmark.com/browse/gucci-jelly-sandals,892,0.01,1169.00,1,53,"[100,36,36,29,19,12,8,3,3,4,6,8]",2023-04-02,"Image pack, Video, Image, People also ask",commercial,Organic
red thunder 4s,7,10,49500,52,0.87,https://poshmark.com/browse/air-jordan-4-thunder,1188,0.01,1033.00,0.97,59,"[30,30,24,24,30,30,24,24,24,36,24,20]",2023-04-08,"Image pack, Site links, Video, Image, Shopping ads, Popular products, Related searches",informational,Organic
shein bracelets,1,7,4400,21,1.28,https://poshmark.com/brand/SHEIN-Women-Jewelry-Bracelets,1091,0.01,1396.00,1,60,"[100,81,81,66,66,54,54,43,54,36,43,36]",2023-04-07,"Video, Image, Popular products, Related searches","navigational, transactional",Organic
yesno,3,3,9900,31,0.27,https://poshmark.com/brand/YesNo,811,0.01,219.00,0,302000000,"[100,4,4,81,54,54,2,3,5,0,16,2]",2023-04-07,"Image pack, Video, Image, Twitter carousel, Indented, Related searches",informational,Organic
eclectic tarot,18,18,140,25,1.20,https://poshmark.com/listing/Eclectic-Tarot-63fdb5cbb635f82279c0c539,0,0,0.00,0.39,1410000,"[23,54,44,44,35,0,18,18,11,11,28,15]",2023-03-30,"Video, Image",commercial,Organic
lipstick and gloss duo,83,83,20,26,0.84,https://poshmark.com/listing/New-LAC-Lip-Duo-Lipstick-and-Gloss-623f66e1bb593728c9cfd6be,0,0,0.00,1,14500000,"[66,66,66,66,66,66,66,66,66,66,66,66]",2023-04-03,"Knowledge panel, Image pack, Video, Image, Video Carousel, People also ask","informational, transactional",Organic
disney glass figures,71,71,20,27,0.92,https://poshmark.com/listing/Walt-Disney-Mickey-Sorcerer-Franklin-Mint-Glass-Wave-Figure-Fantasia-61a5076b60fdedb2f05e31e1,0,0,0.00,1,51900000,"[0,19,0,0,11,15,11,15,7,19,0,7]",2023-03-29,"Image pack, Site links, Video, Image, People also ask, FAQ",commercial,Organic
pink platform stiletto heels,10,10,30,24,0.00,https://poshmark.com/browse/pink-qupid-platform-heels,0,0,0.00,1,13400000,"[18,18,18,18,18,18,18,18,18,18,100,18]",2023-04-02,"Image pack, Video, Image, People also ask",commercial,Organic
guam jackets,29,29,90,0,0.00,https://poshmark.com/listing/Vintage-Guam-jacket-63fd1b932fbf1a23d9126289,0,0,0.00,1,94,"[42,42,33,33,33,23,33,52,100,52,52,19]",2023-03-29,"Image pack, Video, Image",commercial,Organic
squishmallow brindle,12,12,30,23,0.00,https://poshmark.com/listing/NWT-squishmallows-ballis-brindle-frenchie-7-squish-63ef362e8634cb3f446e0835,0,0,0.00,0,28,"[0,0,0,0,0,0,100,100,100,0,44,22]",2023-03-17,"Image pack, Video, Image, People also ask",informational,Organic
little shirley vase,9,9,50,23,0.09,https://poshmark.com/listing/Nordstrom-3-Little-Shirley-Vase-by-MATERIAL-GOOD-60568cf25e0ba893ba764f67,1,0,0.00,1,2840000,"[100,100,100,18,18,18,18,18,18,100,18,18]",2023-04-03,"Image pack, Video, Image, Shopping ads, People also ask","informational, transactional",Organic
william natale,71,71,30,13,0.00,https://poshmark.com/listing/William-Sonoma-Natale-Penguin-Dinner-Plate-Salad-Plate-Set-638972e132c1dc9556efc0df,0,0,0.00,0.07,21500000,"[11,11,11,11,11,11,11,11,100,11,11,11]",2023-03-25,"Knowledge panel, Image pack, Video, Image",informational,Organic
laundry purses by shelli segal,3,3,40,14,0.00,https://poshmark.com/brand/Laundry_by_Shelli_Segal-Women-Bags,3,0,0.00,1,52,"[28,3,0,9,3,9,9,12,9,12,34,28]",2023-04-05,"Site links, Image, People also ask",commercial,Organic
diy phone case kit,42,42,90,22,0.23,https://poshmark.com/listing/3D-fox-woman-DIY-cell-phone-case-kit-55baef0f94aeb2383200251b,0,0,0.00,1,116000000,"[50,35,64,50,50,78,64,35,78,78,64,50]",2023-03-29,"Image pack, Video, Image, People also ask",commercial,Organic
edith singer,72,72,30,11,0.00,https://poshmark.com/listing/PIAF-Vintage-Hardcover-Book-1981-First-Edition-Edith-Singer-Actress-61d234dd7468d556c4448888,0,0,0.00,0.01,12000000,"[21,14,78,14,14,14,14,14,14,14,14,14]",2023-03-16,"Image pack, Site links, Video",informational,Organic
tommy chong book,52,52,30,13,0.00,https://poshmark.com/listing/08-Tommy-Chong-Signed-Book-Cheech-Chong-Biography-1st-Ed1st-Print-HC-6239eb6f8da5c9255eb0be2e,0,0,0.00,1,16200000,"[18,18,18,18,18,18,100,18,18,18,18,18]",2023-03-25,"Image pack, Video, Image, Video Carousel, People also ask",commercial,Organic
women campers,77,77,260,27,0.57,https://poshmark.com/brand/Camper-Women-Shoes,0,0,0.00,0.39,264000000,"[54,100,36,66,100,54,0,6,5,1,4,1]",2023-03-20,"Image pack, Site links, Image, Video Carousel, People also ask",informational,Organic
mini luk,55,55,30,0,0.20,https://poshmark.com/listing/Set-of-4-Mini-LUK-System-Homeschool-Books-Advance-Level-Geometry-Higher-Order-61f0ae099f626ace5593f8a6,0,0,0.00,0.8,19700000,"[60,40,60,40,80,60,100,40,40,40,0,40]",2023-03-25,"Image pack, Video, Image","informational, transactional",Organic
sexy lingeree,96,96,90,58,0.66,https://poshmark.com/brand/Sexy%20lingerie,0,0,0.00,0.9,1340000000,"[12,15,2,12,9,12,12,12,12,15,15,15]",2023-03-13,Site links,commercial,Organic
fresh prince shoes jordans,8,8,30,25,0.00,https://poshmark.com/browse/fresh-prince-of-bel-air-jordans,0,0,0.00,0.91,47,"[100,18,18,18,18,18,18,18,18,18,18,18]",2023-03-17,"Knowledge panel, Image pack, Video, Image, People also ask",informational,Organic
ostrich boots black,18,18,50,21,0.86,https://poshmark.com/browse/mens-ostrich-cowboy-boots,0,0,0.00,1,7620000,"[63,45,9,27,45,36,0,45,100,0,100,81]",2023-03-23,"Image pack, Video, Image, People also ask",informational,Organic
brcc halloween,39,39,50,11,0.00,https://poshmark.com/listing/BRCC-X-DIXXON-TACTISQUATCH-FLANNEL-JACKET-size-Large-639cb7d4ffb5d006a5cba959,0,0,0.00,0,68,"[41,11,29,100,41,11,11,11,11,11,11,11]",2023-03-25,,informational,Organic
bob's burgers graphic tees,15,15,30,22,0.00,https://poshmark.com/brand/Bob's%20Burgers-Women-Tops,0,0,0.00,0.88,63,"[27,18,18,100,18,18,18,18,18,18,18,18]",2023-03-24,"Image pack, Video, Image",commercial,Organic
does colosseum brand run small,20,20,40,17,0.00,https://poshmark.com/listing/IU-long-sleeve-grey-and-red-tee-NWT-colosseum-brand-size-3XL-runs-small-61f0b97f4fd23a6a3a2c7bcc,0,0,0.00,0.81,47,"[9,9,9,9,9,9,52,9,52,52,9,9]",2023-04-05,"Image pack, Video, Image",informational,Organic
ozark trail mens sandals,5,5,140,25,0.19,https://poshmark.com/brand/Ozark_Trail-Men-Shoes-Sandals_&_Flip_Flops,6,0,1.00,1,32,"[14,29,18,54,35,54,35,35,10,8,8,10]",2023-03-20,"Image pack, Video, Image, People also ask","informational, transactional",Organic
peppers bra,8,8,170,50,13.80,https://poshmark.com/brand/Pepper-Women-Intimates_%26_Sleepwear-Bras,4,0,56.00,1,8290000,"[5,1,0,0,0,0,100,1,0,0,0,1]",2023-03-23,"Image pack, Reviews, Video, Image, Video Carousel, People also ask",commercial,Organic
fillable dog toys,71,71,110,41,0.72,https://poshmark.com/listing/Jolly-Pets-TUFF-TREADER-Treat-Fillable-Dog-Toy-Large-6-Size-627c126d6f6c915412d56776,0,0,0.00,1,86,"[81,100,100,81,100,81,100,100,100,81,100,81]",2023-03-14,"Image pack, Video, Image, FAQ",commercial,Organic
mens football cleats 14 wide,7,7,40,37,0.00,https://poshmark.com/browse/mens-wide-cleats,1,0,0.00,1,33,"[27,18,18,18,100,100,100,18,18,18,18,18]",2023-03-17,"Image pack, Video, Image, AdWords bottom, Shopping ads, People also ask",transactional,Organic
bulky phone case,91,91,50,28,0.34,https://poshmark.com/listing/a-bulky-phone-case-60061b124fd23a0aad0665f7,0,0,0.00,1,17700000,"[63,9,45,63,36,45,63,45,45,45,45,36]",2023-04-03,"Image pack, Site links, Video, Image, People also ask, FAQ",commercial,Organic
penelope ford joey janela,18,18,30,25,0.00,https://poshmark.com/listing/Joey-Janela-wrestling-shirt-Penelope-Ford-AEW-5d4729a5c953d8f6680bb1c4,0,0,0.00,0,77,"[35,21,21,28,14,28,14,14,14,14,14,14]",2023-03-27,"Site links, People also ask",informational,Organic
minimelisa,34,34,70,41,4.44,https://poshmark.com/brand/Mini_Melissa,0,0,0.00,1,94400000,"[54,100,0,1,0,0,0,0,0,0,0,0]",2023-03-24,"Video, Image, People also ask",commercial,Organic
paula deen corn casserole,74,70,12100,36,0.13,https://poshmark.com/listing/Paula-Deen-1-Qt-Recipe-Baking-Dish-CORN-CASSEROLE-Dogwood-White-Green-Retired-6189afa4400977925cea93ed,0,0,0.00,0.01,674000,"[4,16,5,4,5,4,4,7,100,36,7,5]",2023-04-07,"Site links, Reviews, Video, People also ask, Related searches",informational,Organic
was aaron rodgers in the military,43,43,70,23,0.00,https://poshmark.com/listing/Mens-Small-Aaron-Rodgers-Military-Elite-Jersey-61b6a4d5800f647fe1b75c1f,0,0,0.00,0,5430000,"[0,0,0,0,0,100,11,3,3,3,3,3]",2023-03-31,"Image pack, Site links, Video, Featured snippet, People also ask",informational,Organic
easy street espadrille shoes,28,28,40,11,0.00,https://poshmark.com/listing/Easy-Street-KINDLY-ESPADRILLE-WEDGE-SANDAL-6273689c162958bf07f032ca,0,0,0.00,1,60,"[27,18,100,100,18,18,18,18,18,18,18,18]",2023-03-24,"Image pack, Video, Image, AdWords bottom, Shopping ads",commercial,Organic
farmhouse purse,6,6,90,12,16.82,https://poshmark.com/brand/Farmhouse-Women-Bags,3,0,52.00,1,98,"[100,64,78,50,50,64,50,35,35,50,100,50]",2023-03-26,"Image pack, Video, Image, People also ask",commercial,Organic
farmhouse purse,5,5,90,12,16.82,https://poshmark.com/brand/farmhouse%20Is%20My%20Style-Women-Bags,3,0,66.00,1,98,"[100,64,78,50,50,64,50,35,35,50,100,50]",2023-03-26,"Image pack, Video, Image, People also ask",commercial,Organic
how to know if a louis vuitton is real,47,47,50,52,0.00,https://poshmark.com/listing/How-to-spot-authentic-v-fakes-5426f5fdba53404a9905a7c1,0,0,0.00,0.01,51800000,"[50,78,78,78,14,14,14,14,14,14,78,64]",2023-03-16,"Site links, Video, Featured snippet, Video Carousel, People also ask, FAQ",informational,Organic
oas sale,68,68,40,9,1.33,https://poshmark.com/brand/OAS,0,0,0.00,1,5240000,"[27,18,27,27,45,45,100,18,18,27,18,100]",2023-03-24,"Image pack, Site links, Video, Image",transactional,Organic
lock shock and barrel funko,37,37,90,20,0.29,https://poshmark.com/listing/Lock-Shock-Barrel-Funko-5c85996e7cc1691d5502f309,0,0,0.00,1,46,"[19,19,26,15,26,34,53,80,53,42,19,7]",2023-04-05,"Knowledge panel, Image pack, Video, Image, AdWords bottom, People also ask",informational,Organic
mont blanc used pens,54,54,40,36,0.32,https://poshmark.com/listing/Pair-of-used-Mont-Blanc-pens-400-for-both-5a714082caab448cdcd2f3bf,0,0,0.00,1,3980000,"[0,0,0,0,0,0,100,100,0,0,0,14]",2023-03-27,"Image pack, Video, Image, People also ask, FAQ",commercial,Organic
my melody drawing,23,23,2400,30,0.00,https://poshmark.com/listing/My-Melody-drawing-Kawaii-621eb01393649ff2c94503a4,3,0,0.00,0.06,83,"[36,44,27,52,44,52,52,52,80,80,100,100]",2023-04-05,People also ask,informational,Organic
cat button up,25,25,50,22,0.00,https://poshmark.com/browse/cat-print-shirt-forever-21,0,0,0.00,1,402000000,"[4,2,2,15,2,15,23,2,2,2,2,2]",2023-03-22,"Image pack, Video, Image","informational, transactional",Organic
plus size capris petite,24,24,110,48,0.98,https://poshmark.com/browse/plus-size-denim-capris,0,0,0.00,1,81,"[21,65,65,100,65,65,34,0,0,9,6,9]",2023-03-17,"Image pack, Video, Image, People also ask",transactional,Organic
formalities by baum bros victorian rose collection,5,5,260,12,0.00,https://poshmark.com/brand/formalities%20by%20baum%20bros.,11,0,0.00,0.99,29,"[66,66,81,66,35,29,43,29,22,35,54,66]",2023-03-25,"Image pack, Image, AdWords bottom",commercial,Organic
formalities by baum bros victorian rose collection,6,6,260,12,0.00,https://poshmark.com/brand/FORMALITIES,9,0,0.00,0.99,29,"[66,66,81,66,35,29,43,29,22,35,54,66]",2023-03-25,"Image pack, Image, AdWords bottom",commercial,Organic
white skeleton shirt,54,54,50,20,0.00,https://poshmark.com/listing/White-skeleton-shirt-63d45551dbb0e72ba59a4839,0,0,0.00,1,33900000,"[14,14,64,50,50,64,78,78,14,14,14,14]",2023-04-01,"Image pack, Video, Image",commercial,Organic
medium length trench coat,34,0,20,36,0.80,https://poshmark.com/brand/ASOS-Women-Jackets_&_Coats-Trench_Coats,0,0,0.00,1,97,"[18,18,18,18,18,18,18,18,18,18,18,18]",2023-04-08,"Image pack, Video, Image, People also ask, Indented, Popular products, Related searches",commercial,Organic
